Problem;3655;"Deficiencia en las reglas, protocolos y procesos de la corresponsabilidad entre la Nación y demás entes territoriales del país en la implementación de la política para víctimas y demás actores del conflicto"
Effect;18181;"Descoordinación institucional en el tema de atención a víctimas"
Effect;18182;"Ineficiencia e ineficacia en la atención a víctimas del conflicto armado por parte de los entes territoriales"
Effect;18183;"Inequidad social"
Effect;18626;"Baja capacidad de las entidades territoriales implementación de la política de víctimas"
Cause;14455;"Baja coordinación entre la Nación y las entidades territoriales en materia de atención a la población víctimas y actores del conflicto armado"
Cause;14879;"Sistema de corresponsabilidad es un tema reciente para el país"
Problem;488;"ESCASAS INICIATIVAS PRODUCTIVAS PARA INCENTIVAR A FAMILIAS VICTMAS DEL CONFLICTO PARA LA GENERACION DE INGRESOS"
Effect;1849;"INCREMENTO DE LA POBLACION EN CONDICIONES DE DESPLAZAMIENTO EN LOS CENTROS POBLADOS"
Effect;1850;"BAJOS INGRESOS PARA LAS FAMILIAS VICTIMAS DEL CONFLICTO"
Effect;1851;"BAJA CALIDA DE VIDA DE LAS VICTIMAS DEL CONFLICTO"
Effect;1852;"AUMENTO DE LAS NECESIDADES BASICAS INSATISFECHAS (NBI)"
Cause;2509;"ESCASAS OPORTUNIDADES LABORALES PARA LAS VICTIMAS DEL CONFLICTO"
Cause;2510;"FALTA DE APOYO DE LAS ENTIDADES GUBERNAMENTALES PARA LA GENERACION DE INGRESOS DE LAS FAMILIAS VICTIMAS DEL CONFLICTO"
Cause;2511;"DEFICIENTE APLICACION DE LA LEY DE VICTIMAS"
Cause;2512;"DESCONOCIMIENTO DE LOS DERECHOS DE LA POBLACION VICTIMA DELCONFLICTO POR PARTE DE LAS ENTIDADES"
Problem;4048;"Insostenibilidad económica y social de las familias y mujeres Víctimas del Conflicto Armado"
Effect;15267;"Incremento de la población en condiciones de desplazamiento en los centros poblados"
Effect;15268;"Descomposición social"
Effect;15269;"Baja calidad de vida de las Víctimas del Conflito Armado"
Effect;15270;"Aumento de las Necesidades Básicas insatisfechas (NBI)"
Cause;14840;"Mínimas oportunidades para la generación de ingresos para la población VCA"
Cause;14842;"Deficiente aplicación de la Ley de Víctimas"
Cause;16771;"Falta de apoyo de las entidades gubernamentales para la generación de ingresos de las familias y mujeres VCA"
Cause;16772;"Mínimas iniciativas productivas"
Problem;33059;"ALTOS COSTOS DE LOS ALIMENTOS CONCENTRADOS COMERCIALES PARA ANIMALES DE GRANJA EN EL MUNICIPIO DE LA PEÑA."
Effect;117774;"Aumento de los costos de producción de los productos pecuarios (Kg de carne, litro de leche, huevo entre otros)."
Effect;117778;"Pérdida de la competitividad del productor en el mercado local y regional."
